model_id,release_date,verification_status,date_basis,is_proxy,primary_source_url,source_title,audit_notes
gpfm,2024-07-26,verified,paper_first_public,false,https://arxiv.org/abs/2407.18449,Towards A Generalizable Pathology Foundation Model via Unified Knowledge Distillation,Exact GPFM model appears in the first arXiv version.
h-optimus-0,2024-07-30,verified,model_card_first_public,false,https://huggingface.co/bioptimus/H-optimus-0,Bioptimus H-optimus-0 model card,Official Hugging Face API createdAt date.
h-optimus-1,2025-02-17,verified,model_card_first_public,false,https://huggingface.co/bioptimus/H-optimus-1,Bioptimus H-optimus-1 model card,Official Hugging Face API createdAt date.
h0-mini,2025-01-27,verified,paper_first_public,false,https://arxiv.org/abs/2501.16239,Distilling foundation models for robust and efficient models in digital pathology,Exact H0-mini model appears in the first arXiv version.
hibou-b,2024-06-07,verified,paper_first_public,false,https://arxiv.org/abs/2406.05074,Hibou: A Family of Foundational Vision Transformers for Pathology,Exact Hibou-B model appears in the first arXiv version.
hibou-l,2024-06-07,verified,paper_first_public,false,https://arxiv.org/abs/2406.05074,Hibou: A Family of Foundational Vision Transformers for Pathology,Exact Hibou-L model appears in the first arXiv version.
hipt,2022-06-06,verified,paper_first_public,false,https://arxiv.org/abs/2206.02647,Scaling Vision Transformers to Gigapixel Images via Hierarchical Self-Supervised Learning,Exact HIPT model appears in the first arXiv version.
kaiko-vit-b-16,2024-03-24,verified,paper_first_public,false,https://arxiv.org/abs/2404.15217,Towards Large-Scale Training of Pathology Foundation Models,Exact architecture is among the paper's released models.
kaiko-vit-b-8,2024-03-24,verified,paper_first_public,false,https://arxiv.org/abs/2404.15217,Towards Large-Scale Training of Pathology Foundation Models,Exact architecture is among the paper's released models.
kaiko-vit-b-unspecified-patch,2024-03-24,verified,paper_first_public,true,https://arxiv.org/abs/2404.15217,Towards Large-Scale Training of Pathology Foundation Models,Proxy: THUNDER's KAIKO-B alias omits patch size.
kaiko-vit-l-14,2024-03-24,verified,paper_first_public,false,https://arxiv.org/abs/2404.15217,Towards Large-Scale Training of Pathology Foundation Models,Exact architecture is among the paper's released models.
kaiko-vit-s-16,2024-03-24,verified,paper_first_public,false,https://arxiv.org/abs/2404.15217,Towards Large-Scale Training of Pathology Foundation Models,Exact architecture is among the paper's released models.
kaiko-vit-s-8,2024-03-24,verified,paper_first_public,false,https://arxiv.org/abs/2404.15217,Towards Large-Scale Training of Pathology Foundation Models,Exact architecture is among the paper's released models.
kaiko-vit-s-unspecified-patch,2024-03-24,verified,paper_first_public,true,https://arxiv.org/abs/2404.15217,Towards Large-Scale Training of Pathology Foundation Models,Proxy: THUNDER's KAIKO-S alias omits patch size.
kang-dino,2022-12-09,verified,paper_first_public,false,https://arxiv.org/abs/2212.04690,Benchmarking Self-Supervised Learning on Diverse Pathology Datasets,PathoROB Kang-DINO corresponds to the authors' released pathology DINO model.
keep,2024-12-18,verified,paper_first_public,false,https://arxiv.org/abs/2412.13126,A Knowledge-enhanced Pathology Vision-language Foundation Model for Cancer Diagnosis,Exact KEEP model appears in the first arXiv version.
lunit-vit-s-16,2022-12-09,verified,paper_first_public,false,https://arxiv.org/abs/2212.04690,Benchmarking Self-Supervised Learning on Diverse Pathology Datasets,Exact Lunit DINO architecture is from the paper's released model family.
lunit-vit-s-8,2022-12-09,verified,paper_first_public,false,https://arxiv.org/abs/2212.04690,Benchmarking Self-Supervised Learning on Diverse Pathology Datasets,Exact Lunit DINO architecture is from the paper's released model family.
midnight,2025-04-07,verified,paper_first_public,false,https://arxiv.org/abs/2504.05186,Training state-of-the-art pathology foundation models with orders of magnitude less data,Midnight-12k exact checkpoint is reported in the first arXiv version.
midnight-92k,2025-04-07,verified,paper_first_public,false,https://arxiv.org/abs/2504.05186,Training state-of-the-art pathology foundation models with orders of magnitude less data,Midnight-92k exact checkpoint is reported in the first arXiv version.
midnight-92k-392,2025-04-07,verified,paper_first_public,false,https://arxiv.org/abs/2504.05186,Training state-of-the-art pathology foundation models with orders of magnitude less data,Midnight-92k/392 exact checkpoint is reported in the first arXiv version.
musk,2023-12-22,verified,paper_first_public,false,https://arxiv.org/abs/2312.15014,A vision-language foundation model for precision oncology,Exact MUSK model appears in the first arXiv version.
openmidnight,2025-11-14,verified,official_technical_report,false,https://sophont.med/blog/openmidnight,How to Train a State-of-the-Art Pathology Foundation Model with $1.6k,Official technical report and model release date.
phikon,2023-07-24,verified,paper_first_public,false,https://www.medrxiv.org/content/10.1101/2023.07.21.23292757v1,Scaling Self-Supervised Learning for Histopathology with Masked Image Modeling,Exact Phikon model appears in the first preprint version.
phikon-v2,2024-09-13,verified,paper_first_public,false,https://arxiv.org/abs/2409.09173,Phikon-v2 A large and public feature extractor for biomarker prediction,Exact Phikon-v2 model appears in the first arXiv version.
plip,2023-06-01,verified,paper_first_public,false,https://arxiv.org/abs/2306.00908,A visual-language foundation model for pathology image analysis using medical Twitter,Exact PLIP model appears in the first arXiv version.
prism-slide,2024-05-16,verified,paper_first_public,false,https://arxiv.org/abs/2405.10254,PRISM: A Multi-Modal Generative Foundation Model for Slide-Level Histopathology,Exact PRISM slide model appears in the first arXiv version.
prov-gigapath,2024-05-22,verified,paper_publication,false,https://www.nature.com/articles/s41586-024-07441-w,A whole-slide foundation model for digital pathology from real-world data,Tile encoder component date follows the official primary publication; no earlier primary preprint was verified.
prov-gigapath-slide,2024-05-22,verified,paper_publication,false,https://www.nature.com/articles/s41586-024-07441-w,A whole-slide foundation model for digital pathology from real-world data,Slide encoder date follows the official primary publication; no earlier primary preprint was verified.
quiltnet,2023-01-31,verified,paper_first_public,false,https://arxiv.org/abs/2301.13746,Quilt-1M: One Million Image-Text Pairs for Histopathology,Exact QuiltNet model family appears in the first arXiv version.
resnet50,2015-12-10,verified,paper_first_public,true,https://arxiv.org/abs/1512.03385,Deep Residual Learning for Image Recognition,Proxy: suite alias does not pin an exact ImageNet checkpoint revision.
retccl,2022-10-01,verified,paper_publication,false,https://doi.org/10.1016/j.media.2022.102645,RetCCL: Clustering-guided contrastive learning for whole-slide image retrieval,Exact RetCCL model appears in the primary journal article; online publication date is used.
rudolfv,2024-01-08,verified,paper_first_public,false,https://arxiv.org/abs/2401.04079,RudolfV: A Foundation Model by Pathologists for Pathologists,Exact RudolfV model appears in the first arXiv version.
threads-slide,2025-01-28,verified,paper_first_public,false,https://arxiv.org/abs/2501.16652,Molecular-driven Foundation Model for Oncologic Pathology,Exact Threads slide model appears in the first arXiv version.
titan-slide,2024-11-29,verified,paper_first_public,false,https://arxiv.org/abs/2411.19666,Multimodal Whole Slide Foundation Model for Pathology,Exact TITAN slide model appears in the first arXiv version.
uni,2023-08-29,verified,paper_first_public,false,https://arxiv.org/abs/2308.15474,Towards a general-purpose foundation model for computational pathology,Exact UNI model appears in the first arXiv version.
uni2-h,2025-01-10,verified,model_card_first_public,false,https://huggingface.co/MahmoodLab/UNI2-h,MahmoodLab UNI2-h model card,Official Hugging Face API createdAt date.
virchow,2023-09-14,verified,paper_first_public,false,https://arxiv.org/abs/2309.07778,Virchow: A Million-Slide Digital Pathology Foundation Model,Exact Virchow model appears in the first arXiv version.
virchow-2,2024-08-01,verified,paper_first_public,false,https://arxiv.org/abs/2408.00738,Virchow2: Scaling Self-Supervised Mixed Magnification Models in Pathology,Exact Virchow2 model appears in the first arXiv version.
vit-b,2020-10-22,verified,paper_first_public,true,https://arxiv.org/abs/2010.11929,An Image is Worth 16x16 Words: Transformers for Image Recognition at Scale,Proxy: suite alias does not pin architecture patch size or exact checkpoint revision.
vit-l,2020-10-22,verified,paper_first_public,true,https://arxiv.org/abs/2010.11929,An Image is Worth 16x16 Words: Transformers for Image Recognition at Scale,Proxy: suite alias does not pin architecture patch size or exact checkpoint revision.
