evaluation_id,suite_id,dataset_id,sample_count_status,sample_count_value,sample_unit,access,label_artifact,acquisition_scale_status,acquisition_scale_value,stain_status,stain,compute_configuration,hardware_model_status,observed_runtime_status,annotation_hours_status,dollar_cost_status,software_license,dataset_license_status,dataset_license,pre_error_feasibility_tier,pre_error_feasibility_basis,numeric_cost_curve_eligible,task_source_url
eva.leaderboard.panda_small.test,eva,panda_small,not_reported,null,slide,download disabled by default in the pinned task configuration,existing categorical or ordinal target label,not_reported,null,not_reported,,"{""accelerator"": ""auto"", ""devices"": 1, ""max_epochs"": 100, ""offline_embedding_mode"": true, ""predict_batch_size"": 64, ""runs"": 20, ""train_batch_size"": 32}",not_reported,not_reported,not_reported,not_reported,Apache-2.0,not_reported,,tier_3_aggregated_or_wsi,slide_or_case aggregation with supplied labels/outcomes,false,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/configs/vision/pathology/offline/classification/panda_small.yaml
eva.leaderboard.panda_small.validation,eva,panda_small,not_reported,null,slide,download disabled by default in the pinned task configuration,existing categorical or ordinal target label,not_reported,null,not_reported,,"{""accelerator"": ""auto"", ""devices"": 1, ""max_epochs"": 100, ""offline_embedding_mode"": true, ""predict_batch_size"": 64, ""runs"": 20, ""train_batch_size"": 32}",not_reported,not_reported,not_reported,not_reported,Apache-2.0,not_reported,,tier_3_aggregated_or_wsi,slide_or_case aggregation with supplied labels/outcomes,false,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/configs/vision/pathology/offline/classification/panda_small.yaml
eva.leaderboard.patch_camelyon.test,eva,patch_camelyon,not_reported,null,image,download disabled by default in the pinned task configuration,existing categorical or ordinal target label,not_reported,null,not_reported,,"{""accelerator"": ""auto"", ""devices"": 1, ""max_steps"": 12500, ""offline_embedding_mode"": true, ""predict_batch_size"": 64, ""runs"": 5, ""train_batch_size"": 256}",not_reported,not_reported,not_reported,not_reported,Apache-2.0,reported,CC0-1.0,tier_2_direct_labeled,image_or_patch + classification,false,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/configs/vision/pathology/offline/classification/patch_camelyon.yaml
eva.leaderboard.patch_camelyon.validation,eva,patch_camelyon,not_reported,null,image,download disabled by default in the pinned task configuration,existing categorical or ordinal target label,not_reported,null,not_reported,,"{""accelerator"": ""auto"", ""devices"": 1, ""max_steps"": 12500, ""offline_embedding_mode"": true, ""predict_batch_size"": 64, ""runs"": 5, ""train_batch_size"": 256}",not_reported,not_reported,not_reported,not_reported,Apache-2.0,reported,CC0-1.0,tier_2_direct_labeled,image_or_patch + classification,false,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/configs/vision/pathology/offline/classification/patch_camelyon.yaml
eva.leaderboard.patch_camelyon_10shot.test,eva,patch_camelyon,not_reported,null,image,download disabled by default in the pinned task configuration,existing categorical or ordinal target label,not_reported,null,not_reported,,"{""accelerator"": ""auto"", ""devices"": 1, ""max_steps"": 12500, ""offline_embedding_mode"": true, ""predict_batch_size"": 64, ""runs"": 50, ""train_batch_size"": 256}",not_reported,not_reported,not_reported,not_reported,Apache-2.0,reported,CC0-1.0,tier_2_direct_labeled,image_or_patch + classification,false,https://github.com/kaiko-ai/eva/blob/e43e74a99b75660b0014f790f25a33dd9f11e121/configs/vision/pathology/offline/classification/patch_camelyon_10shot.yaml
hest.ccrcc.gene_expression,hest,ccrcc,not_reported,null,spatial_transcriptomics_spot,free Hugging Face access with subset querying,existing continuous target measurement,not_reported,null,reported,H&E,"{""embedding_batch_size"": 128, ""execution"": ""CUDA autocast"", ""workers"": 1}",not_reported,not_reported,not_reported,not_reported,CC-BY-NC-SA-4.0,reported,CC-BY-NC-SA-4.0,tier_4_specialized_protocol,"segmentation, spatial regression, robustness, or other specialized protocol",false,https://github.com/mahmoodlab/HEST/blob/3ddb5eaf5bd2a8133e0c0e8015816489a3d99dc3/README.md
hest.coad.gene_expression,hest,coad,not_reported,null,spatial_transcriptomics_spot,free Hugging Face access with subset querying,existing continuous target measurement,not_reported,null,reported,H&E,"{""embedding_batch_size"": 128, ""execution"": ""CUDA autocast"", ""workers"": 1}",not_reported,not_reported,not_reported,not_reported,CC-BY-NC-SA-4.0,reported,CC-BY-NC-SA-4.0,tier_4_specialized_protocol,"segmentation, spatial regression, robustness, or other specialized protocol",false,https://github.com/mahmoodlab/HEST/blob/3ddb5eaf5bd2a8133e0c0e8015816489a3d99dc3/README.md
hest.idc.gene_expression,hest,idc,not_reported,null,spatial_transcriptomics_spot,free Hugging Face access with subset querying,existing continuous target measurement,not_reported,null,reported,H&E,"{""embedding_batch_size"": 128, ""execution"": ""CUDA autocast"", ""workers"": 1}",not_reported,not_reported,not_reported,not_reported,CC-BY-NC-SA-4.0,reported,CC-BY-NC-SA-4.0,tier_4_specialized_protocol,"segmentation, spatial regression, robustness, or other specialized protocol",false,https://github.com/mahmoodlab/HEST/blob/3ddb5eaf5bd2a8133e0c0e8015816489a3d99dc3/README.md
hest.lung.gene_expression,hest,lung,not_reported,null,spatial_transcriptomics_spot,free Hugging Face access with subset querying,existing continuous target measurement,not_reported,null,reported,H&E,"{""embedding_batch_size"": 128, ""execution"": ""CUDA autocast"", ""workers"": 1}",not_reported,not_reported,not_reported,not_reported,CC-BY-NC-SA-4.0,reported,CC-BY-NC-SA-4.0,tier_4_specialized_protocol,"segmentation, spatial regression, robustness, or other specialized protocol",false,https://github.com/mahmoodlab/HEST/blob/3ddb5eaf5bd2a8133e0c0e8015816489a3d99dc3/README.md
hest.lymph_idc.gene_expression,hest,lymph_idc,not_reported,null,spatial_transcriptomics_spot,free Hugging Face access with subset querying,existing continuous target measurement,not_reported,null,reported,H&E,"{""embedding_batch_size"": 128, ""execution"": ""CUDA autocast"", ""workers"": 1}",not_reported,not_reported,not_reported,not_reported,CC-BY-NC-SA-4.0,reported,CC-BY-NC-SA-4.0,tier_4_specialized_protocol,"segmentation, spatial regression, robustness, or other specialized protocol",false,https://github.com/mahmoodlab/HEST/blob/3ddb5eaf5bd2a8133e0c0e8015816489a3d99dc3/README.md
hest.paad.gene_expression,hest,paad,not_reported,null,spatial_transcriptomics_spot,free Hugging Face access with subset querying,existing continuous target measurement,not_reported,null,reported,H&E,"{""embedding_batch_size"": 128, ""execution"": ""CUDA autocast"", ""workers"": 1}",not_reported,not_reported,not_reported,not_reported,CC-BY-NC-SA-4.0,reported,CC-BY-NC-SA-4.0,tier_4_specialized_protocol,"segmentation, spatial regression, robustness, or other specialized protocol",false,https://github.com/mahmoodlab/HEST/blob/3ddb5eaf5bd2a8133e0c0e8015816489a3d99dc3/README.md
hest.prad.gene_expression,hest,prad,not_reported,null,spatial_transcriptomics_spot,free Hugging Face access with subset querying,existing continuous target measurement,not_reported,null,reported,H&E,"{""embedding_batch_size"": 128, ""execution"": ""CUDA autocast"", ""workers"": 1}",not_reported,not_reported,not_reported,not_reported,CC-BY-NC-SA-4.0,reported,CC-BY-NC-SA-4.0,tier_4_specialized_protocol,"segmentation, spatial regression, robustness, or other specialized protocol",false,https://github.com/mahmoodlab/HEST/blob/3ddb5eaf5bd2a8133e0c0e8015816489a3d99dc3/README.md
hest.read.gene_expression,hest,read,not_reported,null,spatial_transcriptomics_spot,free Hugging Face access with subset querying,existing continuous target measurement,not_reported,null,reported,H&E,"{""embedding_batch_size"": 128, ""execution"": ""CUDA autocast"", ""workers"": 1}",not_reported,not_reported,not_reported,not_reported,CC-BY-NC-SA-4.0,reported,CC-BY-NC-SA-4.0,tier_4_specialized_protocol,"segmentation, spatial regression, robustness, or other specialized protocol",false,https://github.com/mahmoodlab/HEST/blob/3ddb5eaf5bd2a8133e0c0e8015816489a3d99dc3/README.md
hest.skcm.gene_expression,hest,skcm,not_reported,null,spatial_transcriptomics_spot,free Hugging Face access with subset querying,existing continuous target measurement,not_reported,null,reported,H&E,"{""embedding_batch_size"": 128, ""execution"": ""CUDA autocast"", ""workers"": 1}",not_reported,not_reported,not_reported,not_reported,CC-BY-NC-SA-4.0,reported,CC-BY-NC-SA-4.0,tier_4_specialized_protocol,"segmentation, spatial regression, robustness, or other specialized protocol",false,https://github.com/mahmoodlab/HEST/blob/3ddb5eaf5bd2a8133e0c0e8015816489a3d99dc3/README.md
pathobench.exaone2025.bc_therapy.er-status,pathobench,bc_therapy,reported,166,case,task split/config automatically downloadable; raw images or embeddings external,existing categorical or ordinal target label,not_reported,null,not_reported,,"{""input_requirement"": ""precomputed patch or pooled embeddings"", ""pooling_device"": ""GPU with CPU fallback""}",not_reported,not_reported,not_reported,not_reported,CC-BY-NC-4.0,not_reported,,tier_3_aggregated_or_wsi,slide_or_case aggregation with supplied labels/outcomes,false,https://arxiv.org/pdf/2512.14019v1
pathobench.exaone2025.bc_therapy.grade,pathobench,bc_therapy,reported,166,case,task split/config automatically downloadable; raw images or embeddings external,existing categorical or ordinal target label,not_reported,null,not_reported,,"{""input_requirement"": ""precomputed patch or pooled embeddings"", ""pooling_device"": ""GPU with CPU fallback""}",not_reported,not_reported,not_reported,not_reported,CC-BY-NC-4.0,not_reported,,tier_3_aggregated_or_wsi,slide_or_case aggregation with supplied labels/outcomes,false,https://arxiv.org/pdf/2512.14019v1
pathobench.exaone2025.bc_therapy.her2-status,pathobench,bc_therapy,reported,166,case,task split/config automatically downloadable; raw images or embeddings external,existing categorical or ordinal target label,not_reported,null,not_reported,,"{""input_requirement"": ""precomputed patch or pooled embeddings"", ""pooling_device"": ""GPU with CPU fallback""}",not_reported,not_reported,not_reported,not_reported,CC-BY-NC-4.0,not_reported,,tier_3_aggregated_or_wsi,slide_or_case aggregation with supplied labels/outcomes,false,https://arxiv.org/pdf/2512.14019v1
pathobench.exaone2025.bc_therapy.residual-cancer-burden,pathobench,bc_therapy,reported,159,case,task split/config automatically downloadable; raw images or embeddings external,existing categorical or ordinal target label,not_reported,null,not_reported,,"{""input_requirement"": ""precomputed patch or pooled embeddings"", ""pooling_device"": ""GPU with CPU fallback""}",not_reported,not_reported,not_reported,not_reported,CC-BY-NC-4.0,not_reported,,tier_3_aggregated_or_wsi,slide_or_case aggregation with supplied labels/outcomes,false,https://arxiv.org/pdf/2512.14019v1
pathobench.exaone2025.bcnb.er,pathobench,bcnb,reported,1058,case,task split/config automatically downloadable; raw images or embeddings external,existing categorical or ordinal target label,not_reported,null,not_reported,,"{""input_requirement"": ""precomputed patch or pooled embeddings"", ""pooling_device"": ""GPU with CPU fallback""}",not_reported,not_reported,not_reported,not_reported,CC-BY-NC-4.0,not_reported,,tier_3_aggregated_or_wsi,slide_or_case aggregation with supplied labels/outcomes,false,https://arxiv.org/pdf/2512.14019v1
pathobench.exaone2025.bcnb.her2,pathobench,bcnb,reported,1058,case,task split/config automatically downloadable; raw images or embeddings external,existing categorical or ordinal target label,not_reported,null,not_reported,,"{""input_requirement"": ""precomputed patch or pooled embeddings"", ""pooling_device"": ""GPU with CPU fallback""}",not_reported,not_reported,not_reported,not_reported,CC-BY-NC-4.0,not_reported,,tier_3_aggregated_or_wsi,slide_or_case aggregation with supplied labels/outcomes,false,https://arxiv.org/pdf/2512.14019v1
pathobench.exaone2025.bcnb.pr,pathobench,bcnb,reported,1058,case,task split/config automatically downloadable; raw images or embeddings external,existing categorical or ordinal target label,not_reported,null,not_reported,,"{""input_requirement"": ""precomputed patch or pooled embeddings"", ""pooling_device"": ""GPU with CPU fallback""}",not_reported,not_reported,not_reported,not_reported,CC-BY-NC-4.0,not_reported,,tier_3_aggregated_or_wsi,slide_or_case aggregation with supplied labels/outcomes,false,https://arxiv.org/pdf/2512.14019v1
pathobench.exaone2025.boehmk_.pfs,pathobench,boehmk_,reported,183,case,task split/config automatically downloadable; raw images or embeddings external,existing event and time-to-event outcome,not_reported,null,not_reported,,"{""input_requirement"": ""precomputed patch or pooled embeddings"", ""pooling_device"": ""GPU with CPU fallback""}",not_reported,not_reported,not_reported,not_reported,CC-BY-NC-4.0,not_reported,,tier_3_aggregated_or_wsi,slide_or_case aggregation with supplied labels/outcomes,false,https://arxiv.org/pdf/2512.14019v1
pathobench.exaone2025.bracs.slidelevel-coarse,pathobench,bracs,reported,547,slide,task split/config automatically downloadable; raw images or embeddings external,existing categorical or ordinal target label,not_reported,null,not_reported,,"{""input_requirement"": ""precomputed patch or pooled embeddings"", ""pooling_device"": ""GPU with CPU fallback""}",not_reported,not_reported,not_reported,not_reported,CC-BY-NC-4.0,not_reported,,tier_3_aggregated_or_wsi,slide_or_case aggregation with supplied labels/outcomes,false,https://arxiv.org/pdf/2512.14019v1
pathobench.exaone2025.bracs.slidelevel-fine,pathobench,bracs,reported,547,slide,task split/config automatically downloadable; raw images or embeddings external,existing categorical or ordinal target label,not_reported,null,not_reported,,"{""input_requirement"": ""precomputed patch or pooled embeddings"", ""pooling_device"": ""GPU with CPU fallback""}",not_reported,not_reported,not_reported,not_reported,CC-BY-NC-4.0,not_reported,,tier_3_aggregated_or_wsi,slide_or_case aggregation with supplied labels/outcomes,false,https://arxiv.org/pdf/2512.14019v1
pathobench.exaone2025.cptac_brca.immune-class,pathobench,cptac_brca,reported,103,case,task split/config automatically downloadable; raw images or embeddings external,existing categorical or ordinal target label,not_reported,null,not_reported,,"{""input_requirement"": ""precomputed patch or pooled embeddings"", ""pooling_device"": ""GPU with CPU fallback""}",not_reported,not_reported,not_reported,not_reported,CC-BY-NC-4.0,not_reported,,tier_3_aggregated_or_wsi,slide_or_case aggregation with supplied labels/outcomes,false,https://arxiv.org/pdf/2512.14019v1
pathobench.exaone2025.cptac_brca.pik3ca-mutation,pathobench,cptac_brca,reported,103,case,task split/config automatically downloadable; raw images or embeddings external,existing categorical or ordinal target label,not_reported,null,not_reported,,"{""input_requirement"": ""precomputed patch or pooled embeddings"", ""pooling_device"": ""GPU with CPU fallback""}",not_reported,not_reported,not_reported,not_reported,CC-BY-NC-4.0,not_reported,,tier_3_aggregated_or_wsi,slide_or_case aggregation with supplied labels/outcomes,false,https://arxiv.org/pdf/2512.14019v1
pathobench.exaone2025.cptac_brca.tp53-mutation,pathobench,cptac_brca,reported,103,case,task split/config automatically downloadable; raw images or embeddings external,existing categorical or ordinal target label,not_reported,null,not_reported,,"{""input_requirement"": ""precomputed patch or pooled embeddings"", ""pooling_device"": ""GPU with CPU fallback""}",not_reported,not_reported,not_reported,not_reported,CC-BY-NC-4.0,not_reported,,tier_3_aggregated_or_wsi,slide_or_case aggregation with supplied labels/outcomes,false,https://arxiv.org/pdf/2512.14019v1
pathobench.exaone2025.cptac_ccrcc.bap1-mutation,pathobench,cptac_ccrcc,reported,103,case,task split/config automatically downloadable; raw images or embeddings external,existing categorical or ordinal target label,not_reported,null,not_reported,,"{""input_requirement"": ""precomputed patch or pooled embeddings"", ""pooling_device"": ""GPU with CPU fallback""}",not_reported,not_reported,not_reported,not_reported,CC-BY-NC-4.0,not_reported,,tier_3_aggregated_or_wsi,slide_or_case aggregation with supplied labels/outcomes,false,https://arxiv.org/pdf/2512.14019v1
pathobench.exaone2025.cptac_ccrcc.immune-class,pathobench,cptac_ccrcc,reported,103,case,task split/config automatically downloadable; raw images or embeddings external,existing categorical or ordinal target label,not_reported,null,not_reported,,"{""input_requirement"": ""precomputed patch or pooled embeddings"", ""pooling_device"": ""GPU with CPU fallback""}",not_reported,not_reported,not_reported,not_reported,CC-BY-NC-4.0,not_reported,,tier_3_aggregated_or_wsi,slide_or_case aggregation with supplied labels/outcomes,false,https://arxiv.org/pdf/2512.14019v1
pathobench.exaone2025.cptac_ccrcc.os,pathobench,cptac_ccrcc,reported,94,case,task split/config automatically downloadable; raw images or embeddings external,existing event and time-to-event outcome,not_reported,null,not_reported,,"{""input_requirement"": ""precomputed patch or pooled embeddings"", ""pooling_device"": ""GPU with CPU fallback""}",not_reported,not_reported,not_reported,not_reported,CC-BY-NC-4.0,not_reported,,tier_3_aggregated_or_wsi,slide_or_case aggregation with supplied labels/outcomes,false,https://arxiv.org/pdf/2512.14019v1
pathobench.exaone2025.cptac_ccrcc.pbrm1-mutation,pathobench,cptac_ccrcc,reported,103,case,task split/config automatically downloadable; raw images or embeddings external,existing categorical or ordinal target label,not_reported,null,not_reported,,"{""input_requirement"": ""precomputed patch or pooled embeddings"", ""pooling_device"": ""GPU with CPU fallback""}",not_reported,not_reported,not_reported,not_reported,CC-BY-NC-4.0,not_reported,,tier_3_aggregated_or_wsi,slide_or_case aggregation with supplied labels/outcomes,false,https://arxiv.org/pdf/2512.14019v1
pathobench.exaone2025.cptac_ccrcc.vhl-mutation,pathobench,cptac_ccrcc,reported,103,case,task split/config automatically downloadable; raw images or embeddings external,existing categorical or ordinal target label,not_reported,null,not_reported,,"{""input_requirement"": ""precomputed patch or pooled embeddings"", ""pooling_device"": ""GPU with CPU fallback""}",not_reported,not_reported,not_reported,not_reported,CC-BY-NC-4.0,not_reported,,tier_3_aggregated_or_wsi,slide_or_case aggregation with supplied labels/outcomes,false,https://arxiv.org/pdf/2512.14019v1
pathobench.exaone2025.cptac_coad.acvr2a-mutation,pathobench,cptac_coad,reported,94,case,task split/config automatically downloadable; raw images or embeddings external,existing categorical or ordinal target label,not_reported,null,not_reported,,"{""input_requirement"": ""precomputed patch or pooled embeddings"", ""pooling_device"": ""GPU with CPU fallback""}",not_reported,not_reported,not_reported,not_reported,CC-BY-NC-4.0,not_reported,,tier_3_aggregated_or_wsi,slide_or_case aggregation with supplied labels/outcomes,false,https://arxiv.org/pdf/2512.14019v1
pathobench.exaone2025.cptac_coad.apc-mutation,pathobench,cptac_coad,reported,94,case,task split/config automatically downloadable; raw images or embeddings external,existing categorical or ordinal target label,not_reported,null,not_reported,,"{""input_requirement"": ""precomputed patch or pooled embeddings"", ""pooling_device"": ""GPU with CPU fallback""}",not_reported,not_reported,not_reported,not_reported,CC-BY-NC-4.0,not_reported,,tier_3_aggregated_or_wsi,slide_or_case aggregation with supplied labels/outcomes,false,https://arxiv.org/pdf/2512.14019v1
pathobench.exaone2025.cptac_coad.arid1a-mutation,pathobench,cptac_coad,reported,94,case,task split/config automatically downloadable; raw images or embeddings external,existing categorical or ordinal target label,not_reported,null,not_reported,,"{""input_requirement"": ""precomputed patch or pooled embeddings"", ""pooling_device"": ""GPU with CPU fallback""}",not_reported,not_reported,not_reported,not_reported,CC-BY-NC-4.0,not_reported,,tier_3_aggregated_or_wsi,slide_or_case aggregation with supplied labels/outcomes,false,https://arxiv.org/pdf/2512.14019v1
pathobench.exaone2025.cptac_coad.immune-class,pathobench,cptac_coad,reported,94,case,task split/config automatically downloadable; raw images or embeddings external,existing categorical or ordinal target label,not_reported,null,not_reported,,"{""input_requirement"": ""precomputed patch or pooled embeddings"", ""pooling_device"": ""GPU with CPU fallback""}",not_reported,not_reported,not_reported,not_reported,CC-BY-NC-4.0,not_reported,,tier_3_aggregated_or_wsi,slide_or_case aggregation with supplied labels/outcomes,false,https://arxiv.org/pdf/2512.14019v1
pathobench.exaone2025.cptac_coad.kras-mutation,pathobench,cptac_coad,reported,94,case,task split/config automatically downloadable; raw images or embeddings external,existing categorical or ordinal target label,not_reported,null,not_reported,,"{""input_requirement"": ""precomputed patch or pooled embeddings"", ""pooling_device"": ""GPU with CPU fallback""}",not_reported,not_reported,not_reported,not_reported,CC-BY-NC-4.0,not_reported,,tier_3_aggregated_or_wsi,slide_or_case aggregation with supplied labels/outcomes,false,https://arxiv.org/pdf/2512.14019v1
pathobench.exaone2025.cptac_coad.msi-h,pathobench,cptac_coad,reported,93,case,task split/config automatically downloadable; raw images or embeddings external,existing categorical or ordinal target label,not_reported,null,not_reported,,"{""input_requirement"": ""precomputed patch or pooled embeddings"", ""pooling_device"": ""GPU with CPU fallback""}",not_reported,not_reported,not_reported,not_reported,CC-BY-NC-4.0,not_reported,,tier_3_aggregated_or_wsi,slide_or_case aggregation with supplied labels/outcomes,false,https://arxiv.org/pdf/2512.14019v1
pathobench.exaone2025.cptac_coad.pik3ca-mutation,pathobench,cptac_coad,reported,94,case,task split/config automatically downloadable; raw images or embeddings external,existing categorical or ordinal target label,not_reported,null,not_reported,,"{""input_requirement"": ""precomputed patch or pooled embeddings"", ""pooling_device"": ""GPU with CPU fallback""}",not_reported,not_reported,not_reported,not_reported,CC-BY-NC-4.0,not_reported,,tier_3_aggregated_or_wsi,slide_or_case aggregation with supplied labels/outcomes,false,https://arxiv.org/pdf/2512.14019v1
pathobench.exaone2025.cptac_coad.setd1b-mutation,pathobench,cptac_coad,reported,94,case,task split/config automatically downloadable; raw images or embeddings external,existing categorical or ordinal target label,not_reported,null,not_reported,,"{""input_requirement"": ""precomputed patch or pooled embeddings"", ""pooling_device"": ""GPU with CPU fallback""}",not_reported,not_reported,not_reported,not_reported,CC-BY-NC-4.0,not_reported,,tier_3_aggregated_or_wsi,slide_or_case aggregation with supplied labels/outcomes,false,https://arxiv.org/pdf/2512.14019v1
pathobench.exaone2025.cptac_coad.tp53-mutation,pathobench,cptac_coad,reported,94,case,task split/config automatically downloadable; raw images or embeddings external,existing categorical or ordinal target label,not_reported,null,not_reported,,"{""input_requirement"": ""precomputed patch or pooled embeddings"", ""pooling_device"": ""GPU with CPU fallback""}",not_reported,not_reported,not_reported,not_reported,CC-BY-NC-4.0,not_reported,,tier_3_aggregated_or_wsi,slide_or_case aggregation with supplied labels/outcomes,false,https://arxiv.org/pdf/2512.14019v1
