"source_id","source_revision","source_sha256","source_locator","model_alias","model_id","suite_id","evaluation_id","base_evaluation_id","dataset_id","task_name","task_family","target","sample_unit","task_type","endpoint","metric","direction","value","uncertainty","protocol","reference_url","disposition","disposition_reason"
"h0mini_arxiv_v3","arxiv:2501.16239v3","222798059c15b554528d61f8caa04de8fcc2d5cc23997607dc25d851282a6f08","main_preprint.tex:Table 1/tab:eva_results|model=H0-mini|column=MHIST","H0-mini","h0-mini","eva","eva.h0mini2025.mhist","eva.mhist","mhist","MHIST EVA classification/segmentation","classification","MHIST class label","image","classification","h0mini2025_eva_cls_token","balanced_accuracy","higher","0.790","not_reported","H0-mini paper EVA protocol; CLS-token input embeddings; balanced accuracy for classification and MonaiDiceScore for segmentation.","https://arxiv.org/abs/2501.16239v3","accepted_public_leaf","Public leaf score under an exact paper-versioned protocol."
"h0mini_arxiv_v3","arxiv:2501.16239v3","222798059c15b554528d61f8caa04de8fcc2d5cc23997607dc25d851282a6f08","main_preprint.tex:Table 1/tab:eva_results|model=H0-mini|column=PCam","H0-mini","h0-mini","eva","eva.h0mini2025.patch_camelyon","eva.patch_camelyon","patch_camelyon","PCam EVA classification/segmentation","classification","PCam class label","image","classification","h0mini2025_eva_cls_token","balanced_accuracy","higher","0.942","not_reported","H0-mini paper EVA protocol; CLS-token input embeddings; balanced accuracy for classification and MonaiDiceScore for segmentation.","https://arxiv.org/abs/2501.16239v3","accepted_public_leaf","Public leaf score under an exact paper-versioned protocol."
"h0mini_arxiv_v3","arxiv:2501.16239v3","222798059c15b554528d61f8caa04de8fcc2d5cc23997607dc25d851282a6f08","main_preprint.tex:Table 1/tab:eva_results|model=H0-mini|column=Cam16","H0-mini","h0-mini","eva","eva.h0mini2025.camelyon16","eva.camelyon16","camelyon16","Cam16 EVA classification/segmentation","classification","Cam16 class label","slide","classification","h0mini2025_eva_cls_token","balanced_accuracy","higher","0.842","not_reported","H0-mini paper EVA protocol; CLS-token input embeddings; balanced accuracy for classification and MonaiDiceScore for segmentation.","https://arxiv.org/abs/2501.16239v3","accepted_public_leaf","Public leaf score under an exact paper-versioned protocol."
"h0mini_arxiv_v3","arxiv:2501.16239v3","222798059c15b554528d61f8caa04de8fcc2d5cc23997607dc25d851282a6f08","main_preprint.tex:Table 1/tab:eva_results|model=H0-mini|column=PANDA","H0-mini","h0-mini","eva","eva.h0mini2025.panda","eva.panda","panda","PANDA EVA classification/segmentation","classification","PANDA class label","slide","classification","h0mini2025_eva_cls_token","balanced_accuracy","higher","0.667","not_reported","H0-mini paper EVA protocol; CLS-token input embeddings; balanced accuracy for classification and MonaiDiceScore for segmentation.","https://arxiv.org/abs/2501.16239v3","accepted_public_leaf","Public leaf score under an exact paper-versioned protocol."
"h0mini_arxiv_v3","arxiv:2501.16239v3","222798059c15b554528d61f8caa04de8fcc2d5cc23997607dc25d851282a6f08","main_preprint.tex:Table 1/tab:eva_results|model=H0-mini|column=CoNSeP","H0-mini","h0-mini","eva","eva.h0mini2025.consep","eva.consep","consep","CoNSeP EVA classification/segmentation","segmentation","CoNSeP segmentation mask","image","segmentation","h0mini2025_eva_cls_token","dice","higher","0.629","not_reported","H0-mini paper EVA protocol; CLS-token input embeddings; balanced accuracy for classification and MonaiDiceScore for segmentation.","https://arxiv.org/abs/2501.16239v3","accepted_public_leaf","Public leaf score under an exact paper-versioned protocol."
"h0mini_arxiv_v3","arxiv:2501.16239v3","222798059c15b554528d61f8caa04de8fcc2d5cc23997607dc25d851282a6f08","main_preprint.tex:Table 1/tab:eva_results|model=H0-mini|column=MoNuSAC","H0-mini","h0-mini","eva","eva.h0mini2025.monusac","eva.monusac","monusac","MoNuSAC EVA classification/segmentation","segmentation","MoNuSAC segmentation mask","image","segmentation","h0mini2025_eva_cls_token","dice","higher","0.643","not_reported","H0-mini paper EVA protocol; CLS-token input embeddings; balanced accuracy for classification and MonaiDiceScore for segmentation.","https://arxiv.org/abs/2501.16239v3","accepted_public_leaf","Public leaf score under an exact paper-versioned protocol."
"h0mini_arxiv_v3","arxiv:2501.16239v3","222798059c15b554528d61f8caa04de8fcc2d5cc23997607dc25d851282a6f08","main_preprint.tex:Table 1/tab:eva_results|model=UNI2-h|column=Mean All","UNI2-h","uni2-h","eva","eva.h0mini2025.aggregate.mean","","aggregate","EVA mean excluding BACH","aggregate","derived mean","model","aggregate","mean","mean_reported_score","higher",".791","not_reported","Paper-reported convenience average excluding BACH.","https://arxiv.org/abs/2501.16239v3","excluded_derived_aggregate","Derived summary is not an independent benchmark task."
"h0mini_arxiv_v3","arxiv:2501.16239v3","222798059c15b554528d61f8caa04de8fcc2d5cc23997607dc25d851282a6f08","main_preprint.tex:Table 1/tab:eva_results|model=H0-mini|column=Mean All","H0-mini","h0-mini","eva","eva.h0mini2025.aggregate.mean","","aggregate","EVA mean excluding BACH","aggregate","derived mean","model","aggregate","mean","mean_reported_score","higher",".782","not_reported","Paper-reported convenience average excluding BACH.","https://arxiv.org/abs/2501.16239v3","excluded_derived_aggregate","Derived summary is not an independent benchmark task."
"h0mini_arxiv_v3","arxiv:2501.16239v3","222798059c15b554528d61f8caa04de8fcc2d5cc23997607dc25d851282a6f08","main_preprint.tex:Table 2/tab:hest_results|model=UNI2-h|column=IDC","UNI2-h","uni2-h","hest","hest.h0mini2025.idc.gene_expression","hest.idc.gene_expression","idc","IDC morphology-to-gene-expression","spatial_transcriptomics","expression of 50 highly variable genes","spatial_transcriptomics_spot","regression","h0mini2025_ridge_gene_expression_cls_mean","pearson_r","higher","0.6054","not_reported","H0-mini paper HEST protocol; CLS token concatenated with mean patch token as input embedding; Pearson correlation.","https://arxiv.org/abs/2501.16239v3","accepted_public_leaf","Public leaf score under an exact paper-versioned protocol."
"h0mini_arxiv_v3","arxiv:2501.16239v3","222798059c15b554528d61f8caa04de8fcc2d5cc23997607dc25d851282a6f08","main_preprint.tex:Table 2/tab:hest_results|model=UNI2-h|column=PRAD","UNI2-h","uni2-h","hest","hest.h0mini2025.prad.gene_expression","hest.prad.gene_expression","prad","PRAD morphology-to-gene-expression","spatial_transcriptomics","expression of 50 highly variable genes","spatial_transcriptomics_spot","regression","h0mini2025_ridge_gene_expression_cls_mean","pearson_r","higher","0.3753","not_reported","H0-mini paper HEST protocol; CLS token concatenated with mean patch token as input embedding; Pearson correlation.","https://arxiv.org/abs/2501.16239v3","accepted_public_leaf","Public leaf score under an exact paper-versioned protocol."
"h0mini_arxiv_v3","arxiv:2501.16239v3","222798059c15b554528d61f8caa04de8fcc2d5cc23997607dc25d851282a6f08","main_preprint.tex:Table 2/tab:hest_results|model=UNI2-h|column=PAAD","UNI2-h","uni2-h","hest","hest.h0mini2025.paad.gene_expression","hest.paad.gene_expression","paad","PAAD morphology-to-gene-expression","spatial_transcriptomics","expression of 50 highly variable genes","spatial_transcriptomics_spot","regression","h0mini2025_ridge_gene_expression_cls_mean","pearson_r","higher","0.5231","not_reported","H0-mini paper HEST protocol; CLS token concatenated with mean patch token as input embedding; Pearson correlation.","https://arxiv.org/abs/2501.16239v3","accepted_public_leaf","Public leaf score under an exact paper-versioned protocol."
"h0mini_arxiv_v3","arxiv:2501.16239v3","222798059c15b554528d61f8caa04de8fcc2d5cc23997607dc25d851282a6f08","main_preprint.tex:Table 2/tab:hest_results|model=UNI2-h|column=SKCM","UNI2-h","uni2-h","hest","hest.h0mini2025.skcm.gene_expression","hest.skcm.gene_expression","skcm","SKCM morphology-to-gene-expression","spatial_transcriptomics","expression of 50 highly variable genes","spatial_transcriptomics_spot","regression","h0mini2025_ridge_gene_expression_cls_mean","pearson_r","higher","0.6829","not_reported","H0-mini paper HEST protocol; CLS token concatenated with mean patch token as input embedding; Pearson correlation.","https://arxiv.org/abs/2501.16239v3","accepted_public_leaf","Public leaf score under an exact paper-versioned protocol."
"h0mini_arxiv_v3","arxiv:2501.16239v3","222798059c15b554528d61f8caa04de8fcc2d5cc23997607dc25d851282a6f08","main_preprint.tex:Table 2/tab:hest_results|model=UNI2-h|column=COAD","UNI2-h","uni2-h","hest","hest.h0mini2025.coad.gene_expression","hest.coad.gene_expression","coad","COAD morphology-to-gene-expression","spatial_transcriptomics","expression of 50 highly variable genes","spatial_transcriptomics_spot","regression","h0mini2025_ridge_gene_expression_cls_mean","pearson_r","higher","0.3319","not_reported","H0-mini paper HEST protocol; CLS token concatenated with mean patch token as input embedding; Pearson correlation.","https://arxiv.org/abs/2501.16239v3","accepted_public_leaf","Public leaf score under an exact paper-versioned protocol."
"h0mini_arxiv_v3","arxiv:2501.16239v3","222798059c15b554528d61f8caa04de8fcc2d5cc23997607dc25d851282a6f08","main_preprint.tex:Table 2/tab:hest_results|model=UNI2-h|column=READ","UNI2-h","uni2-h","hest","hest.h0mini2025.read.gene_expression","hest.read.gene_expression","read","READ morphology-to-gene-expression","spatial_transcriptomics","expression of 50 highly variable genes","spatial_transcriptomics_spot","regression","h0mini2025_ridge_gene_expression_cls_mean","pearson_r","higher","0.2265","not_reported","H0-mini paper HEST protocol; CLS token concatenated with mean patch token as input embedding; Pearson correlation.","https://arxiv.org/abs/2501.16239v3","accepted_public_leaf","Public leaf score under an exact paper-versioned protocol."
"h0mini_arxiv_v3","arxiv:2501.16239v3","222798059c15b554528d61f8caa04de8fcc2d5cc23997607dc25d851282a6f08","main_preprint.tex:Table 2/tab:hest_results|model=UNI2-h|column=CCRCC","UNI2-h","uni2-h","hest","hest.h0mini2025.ccrcc.gene_expression","hest.ccrcc.gene_expression","ccrcc","CCRCC morphology-to-gene-expression","spatial_transcriptomics","expression of 50 highly variable genes","spatial_transcriptomics_spot","regression","h0mini2025_ridge_gene_expression_cls_mean","pearson_r","higher","0.2662","not_reported","H0-mini paper HEST protocol; CLS token concatenated with mean patch token as input embedding; Pearson correlation.","https://arxiv.org/abs/2501.16239v3","accepted_public_leaf","Public leaf score under an exact paper-versioned protocol."
"h0mini_arxiv_v3","arxiv:2501.16239v3","222798059c15b554528d61f8caa04de8fcc2d5cc23997607dc25d851282a6f08","main_preprint.tex:Table 2/tab:hest_results|model=UNI2-h|column=LUAD","UNI2-h","uni2-h","hest","hest.h0mini2025.lung.gene_expression","hest.lung.gene_expression","lung","LUAD morphology-to-gene-expression","spatial_transcriptomics","expression of 50 highly variable genes","spatial_transcriptomics_spot","regression","h0mini2025_ridge_gene_expression_cls_mean","pearson_r","higher","0.5743","not_reported","H0-mini paper HEST protocol; CLS token concatenated with mean patch token as input embedding; Pearson correlation.","https://arxiv.org/abs/2501.16239v3","accepted_public_leaf","Public leaf score under an exact paper-versioned protocol."
"h0mini_arxiv_v3","arxiv:2501.16239v3","222798059c15b554528d61f8caa04de8fcc2d5cc23997607dc25d851282a6f08","main_preprint.tex:Table 2/tab:hest_results|model=UNI2-h|column=L. IDC","UNI2-h","uni2-h","hest","hest.h0mini2025.lymph_idc.gene_expression","hest.lymph_idc.gene_expression","lymph_idc","L. IDC morphology-to-gene-expression","spatial_transcriptomics","expression of 50 highly variable genes","spatial_transcriptomics_spot","regression","h0mini2025_ridge_gene_expression_cls_mean","pearson_r","higher","0.2743","not_reported","H0-mini paper HEST protocol; CLS token concatenated with mean patch token as input embedding; Pearson correlation.","https://arxiv.org/abs/2501.16239v3","accepted_public_leaf","Public leaf score under an exact paper-versioned protocol."
"h0mini_arxiv_v3","arxiv:2501.16239v3","222798059c15b554528d61f8caa04de8fcc2d5cc23997607dc25d851282a6f08","main_preprint.tex:Table 2/tab:hest_results|model=H0-mini|column=IDC","H0-mini","h0-mini","hest","hest.h0mini2025.idc.gene_expression","hest.idc.gene_expression","idc","IDC morphology-to-gene-expression","spatial_transcriptomics","expression of 50 highly variable genes","spatial_transcriptomics_spot","regression","h0mini2025_ridge_gene_expression_cls_mean","pearson_r","higher","0.5909","not_reported","H0-mini paper HEST protocol; CLS token concatenated with mean patch token as input embedding; Pearson correlation.","https://arxiv.org/abs/2501.16239v3","accepted_public_leaf","Public leaf score under an exact paper-versioned protocol."
"h0mini_arxiv_v3","arxiv:2501.16239v3","222798059c15b554528d61f8caa04de8fcc2d5cc23997607dc25d851282a6f08","main_preprint.tex:Table 2/tab:hest_results|model=H0-mini|column=PRAD","H0-mini","h0-mini","hest","hest.h0mini2025.prad.gene_expression","hest.prad.gene_expression","prad","PRAD morphology-to-gene-expression","spatial_transcriptomics","expression of 50 highly variable genes","spatial_transcriptomics_spot","regression","h0mini2025_ridge_gene_expression_cls_mean","pearson_r","higher","0.3633","not_reported","H0-mini paper HEST protocol; CLS token concatenated with mean patch token as input embedding; Pearson correlation.","https://arxiv.org/abs/2501.16239v3","accepted_public_leaf","Public leaf score under an exact paper-versioned protocol."
"h0mini_arxiv_v3","arxiv:2501.16239v3","222798059c15b554528d61f8caa04de8fcc2d5cc23997607dc25d851282a6f08","main_preprint.tex:Table 2/tab:hest_results|model=H0-mini|column=PAAD","H0-mini","h0-mini","hest","hest.h0mini2025.paad.gene_expression","hest.paad.gene_expression","paad","PAAD morphology-to-gene-expression","spatial_transcriptomics","expression of 50 highly variable genes","spatial_transcriptomics_spot","regression","h0mini2025_ridge_gene_expression_cls_mean","pearson_r","higher","0.5068","not_reported","H0-mini paper HEST protocol; CLS token concatenated with mean patch token as input embedding; Pearson correlation.","https://arxiv.org/abs/2501.16239v3","accepted_public_leaf","Public leaf score under an exact paper-versioned protocol."
"h0mini_arxiv_v3","arxiv:2501.16239v3","222798059c15b554528d61f8caa04de8fcc2d5cc23997607dc25d851282a6f08","main_preprint.tex:Table 2/tab:hest_results|model=H0-mini|column=SKCM","H0-mini","h0-mini","hest","hest.h0mini2025.skcm.gene_expression","hest.skcm.gene_expression","skcm","SKCM morphology-to-gene-expression","spatial_transcriptomics","expression of 50 highly variable genes","spatial_transcriptomics_spot","regression","h0mini2025_ridge_gene_expression_cls_mean","pearson_r","higher","0.6125","not_reported","H0-mini paper HEST protocol; CLS token concatenated with mean patch token as input embedding; Pearson correlation.","https://arxiv.org/abs/2501.16239v3","accepted_public_leaf","Public leaf score under an exact paper-versioned protocol."
"h0mini_arxiv_v3","arxiv:2501.16239v3","222798059c15b554528d61f8caa04de8fcc2d5cc23997607dc25d851282a6f08","main_preprint.tex:Table 2/tab:hest_results|model=H0-mini|column=COAD","H0-mini","h0-mini","hest","hest.h0mini2025.coad.gene_expression","hest.coad.gene_expression","coad","COAD morphology-to-gene-expression","spatial_transcriptomics","expression of 50 highly variable genes","spatial_transcriptomics_spot","regression","h0mini2025_ridge_gene_expression_cls_mean","pearson_r","higher","0.2700","not_reported","H0-mini paper HEST protocol; CLS token concatenated with mean patch token as input embedding; Pearson correlation.","https://arxiv.org/abs/2501.16239v3","accepted_public_leaf","Public leaf score under an exact paper-versioned protocol."
"h0mini_arxiv_v3","arxiv:2501.16239v3","222798059c15b554528d61f8caa04de8fcc2d5cc23997607dc25d851282a6f08","main_preprint.tex:Table 2/tab:hest_results|model=H0-mini|column=READ","H0-mini","h0-mini","hest","hest.h0mini2025.read.gene_expression","hest.read.gene_expression","read","READ morphology-to-gene-expression","spatial_transcriptomics","expression of 50 highly variable genes","spatial_transcriptomics_spot","regression","h0mini2025_ridge_gene_expression_cls_mean","pearson_r","higher","0.2047","not_reported","H0-mini paper HEST protocol; CLS token concatenated with mean patch token as input embedding; Pearson correlation.","https://arxiv.org/abs/2501.16239v3","accepted_public_leaf","Public leaf score under an exact paper-versioned protocol."
"h0mini_arxiv_v3","arxiv:2501.16239v3","222798059c15b554528d61f8caa04de8fcc2d5cc23997607dc25d851282a6f08","main_preprint.tex:Table 2/tab:hest_results|model=H0-mini|column=CCRCC","H0-mini","h0-mini","hest","hest.h0mini2025.ccrcc.gene_expression","hest.ccrcc.gene_expression","ccrcc","CCRCC morphology-to-gene-expression","spatial_transcriptomics","expression of 50 highly variable genes","spatial_transcriptomics_spot","regression","h0mini2025_ridge_gene_expression_cls_mean","pearson_r","higher","0.2643","not_reported","H0-mini paper HEST protocol; CLS token concatenated with mean patch token as input embedding; Pearson correlation.","https://arxiv.org/abs/2501.16239v3","accepted_public_leaf","Public leaf score under an exact paper-versioned protocol."
"h0mini_arxiv_v3","arxiv:2501.16239v3","222798059c15b554528d61f8caa04de8fcc2d5cc23997607dc25d851282a6f08","main_preprint.tex:Table 2/tab:hest_results|model=H0-mini|column=LUAD","H0-mini","h0-mini","hest","hest.h0mini2025.lung.gene_expression","hest.lung.gene_expression","lung","LUAD morphology-to-gene-expression","spatial_transcriptomics","expression of 50 highly variable genes","spatial_transcriptomics_spot","regression","h0mini2025_ridge_gene_expression_cls_mean","pearson_r","higher","0.5633","not_reported","H0-mini paper HEST protocol; CLS token concatenated with mean patch token as input embedding; Pearson correlation.","https://arxiv.org/abs/2501.16239v3","accepted_public_leaf","Public leaf score under an exact paper-versioned protocol."
"h0mini_arxiv_v3","arxiv:2501.16239v3","222798059c15b554528d61f8caa04de8fcc2d5cc23997607dc25d851282a6f08","main_preprint.tex:Table 2/tab:hest_results|model=H0-mini|column=L. IDC","H0-mini","h0-mini","hest","hest.h0mini2025.lymph_idc.gene_expression","hest.lymph_idc.gene_expression","lymph_idc","L. IDC morphology-to-gene-expression","spatial_transcriptomics","expression of 50 highly variable genes","spatial_transcriptomics_spot","regression","h0mini2025_ridge_gene_expression_cls_mean","pearson_r","higher","0.2640","not_reported","H0-mini paper HEST protocol; CLS token concatenated with mean patch token as input embedding; Pearson correlation.","https://arxiv.org/abs/2501.16239v3","accepted_public_leaf","Public leaf score under an exact paper-versioned protocol."
"h0mini_arxiv_v3","arxiv:2501.16239v3","222798059c15b554528d61f8caa04de8fcc2d5cc23997607dc25d851282a6f08","main_preprint.tex:Table 2/tab:hest_results|model=UNI2-h|column=Mean","UNI2-h","uni2-h","hest","hest.h0mini2025.aggregate.mean","","aggregate","HEST mean","aggregate","derived mean","model","aggregate","mean","mean_pearson_r","higher",".4292","not_reported","Paper-reported convenience average across nine HEST tasks.","https://arxiv.org/abs/2501.16239v3","excluded_derived_aggregate","Derived summary is not an independent benchmark task."
"h0mini_arxiv_v3","arxiv:2501.16239v3","222798059c15b554528d61f8caa04de8fcc2d5cc23997607dc25d851282a6f08","main_preprint.tex:Table 2/tab:hest_results|model=H0-mini|column=Mean","H0-mini","h0-mini","hest","hest.h0mini2025.aggregate.mean","","aggregate","HEST mean","aggregate","derived mean","model","aggregate","mean","mean_pearson_r","higher",".4044","not_reported","Paper-reported convenience average across nine HEST tasks.","https://arxiv.org/abs/2501.16239v3","excluded_derived_aggregate","Derived summary is not an independent benchmark task."
"h0mini_arxiv_v3","arxiv:2501.16239v3","222798059c15b554528d61f8caa04de8fcc2d5cc23997607dc25d851282a6f08","main_preprint.tex:Table 3/tab:plism_results|model=H0-mini|context=fixed-staining cross-scanner|metric=cosine_similarity_median","H0-mini","h0-mini","plism","plism.h0mini2025.fixed_staining_cross_scanner.cosine_similarity","","plism_fixed_staining_cross_scanner","PLISM fixed-staining cross-scanner cosine similarity median","representation_robustness","matched-tile embedding robustness","registered_slide_pair","robustness_analysis","fixed_staining_cross_scanner","cosine_similarity","higher","0.92","interquartile_range=0.06","H0-mini paper PLISM protocol; median over corresponding public slide pairs with IQR; cosine similarity or matched-tile top-10 retrieval accuracy.","https://arxiv.org/abs/2501.16239v3","accepted_public_leaf","Public leaf score under an exact paper-versioned context. The final table header has a conflicting down-arrow typo; metric definition, prose, and bolding establish higher is better."
"h0mini_arxiv_v3","arxiv:2501.16239v3","222798059c15b554528d61f8caa04de8fcc2d5cc23997607dc25d851282a6f08","main_preprint.tex:Table 3/tab:plism_results|model=H0-mini|context=fixed-staining cross-scanner|metric=top10_accuracy_median","H0-mini","h0-mini","plism","plism.h0mini2025.fixed_staining_cross_scanner.top10_accuracy","","plism_fixed_staining_cross_scanner","PLISM fixed-staining cross-scanner top10 accuracy median","representation_robustness","matched-tile embedding robustness","registered_slide_pair","robustness_analysis","fixed_staining_cross_scanner","top10_accuracy","higher","0.86","interquartile_range=0.28","H0-mini paper PLISM protocol; median over corresponding public slide pairs with IQR; cosine similarity or matched-tile top-10 retrieval accuracy.","https://arxiv.org/abs/2501.16239v3","accepted_public_leaf","Public leaf score under an exact paper-versioned context. The final table header has a conflicting down-arrow typo; metric definition, prose, and bolding establish higher is better."
"h0mini_arxiv_v3","arxiv:2501.16239v3","222798059c15b554528d61f8caa04de8fcc2d5cc23997607dc25d851282a6f08","main_preprint.tex:Table 3/tab:plism_results|model=H0-mini|context=fixed-scanner cross-staining|metric=cosine_similarity_median","H0-mini","h0-mini","plism","plism.h0mini2025.fixed_scanner_cross_staining.cosine_similarity","","plism_fixed_scanner_cross_staining","PLISM fixed-scanner cross-staining cosine similarity median","representation_robustness","matched-tile embedding robustness","registered_slide_pair","robustness_analysis","fixed_scanner_cross_staining","cosine_similarity","higher","0.83","interquartile_range=0.09","H0-mini paper PLISM protocol; median over corresponding public slide pairs with IQR; cosine similarity or matched-tile top-10 retrieval accuracy.","https://arxiv.org/abs/2501.16239v3","accepted_public_leaf","Public leaf score under an exact paper-versioned context. The final table header has a conflicting down-arrow typo; metric definition, prose, and bolding establish higher is better."
