evaluation_id,suite_id,dataset_id,task_name,task_family,target,sample_unit,task_type,num_samples,endpoint,metric,direction,protocol,reference_url,audit_status,observed_models
hest.prad.gene_expression,hest,prad,PRAD morphology-to-gene-expression,spatial_transcriptomics,expression of 50 highly variable genes,spatial_transcriptomics_spot,regression,not_reported,ridge_gene_expression_prediction,pearson_r,higher,Predict 50 highly variable genes from 112x112 um morphology regions at 0.5 um/px using ridge regression after PCA to 256 factors.,https://github.com/mahmoodlab/HEST/blob/3ddb5eaf5bd2a8133e0c0e8015816489a3d99dc3/README.md,parsed_primary_source,26
hest.read.gene_expression,hest,read,READ morphology-to-gene-expression,spatial_transcriptomics,expression of 50 highly variable genes,spatial_transcriptomics_spot,regression,not_reported,ridge_gene_expression_prediction,pearson_r,higher,Predict 50 highly variable genes from 112x112 um morphology regions at 0.5 um/px using ridge regression after PCA to 256 factors.,https://github.com/mahmoodlab/HEST/blob/3ddb5eaf5bd2a8133e0c0e8015816489a3d99dc3/README.md,parsed_primary_source,26
hest.skcm.gene_expression,hest,skcm,SKCM morphology-to-gene-expression,spatial_transcriptomics,expression of 50 highly variable genes,spatial_transcriptomics_spot,regression,not_reported,ridge_gene_expression_prediction,pearson_r,higher,Predict 50 highly variable genes from 112x112 um morphology regions at 0.5 um/px using ridge regression after PCA to 256 factors.,https://github.com/mahmoodlab/HEST/blob/3ddb5eaf5bd2a8133e0c0e8015816489a3d99dc3/README.md,parsed_primary_source,26
pathobench.bc_therapy.er-status,pathobench,bc_therapy,er_status,molecular_subtyping,er_status,case,classification,166,case_level_classification,macro-ovr-auc,higher,Public Patho-Bench split and task metadata; downstream protocol is task-specific in Patho-Bench.,https://huggingface.co/datasets/MahmoodLab/Patho-Bench/blob/60fde3a9138b2fb27a163ed6f3e2cf0ef7e8f387/bc_therapy/er_status/config.yaml,parsed_primary_source,0
pathobench.bc_therapy.grade,pathobench,bc_therapy,grade,tumor_grading,grade,case,classification,166,case_level_classification,weighted_kappa,higher,Public Patho-Bench split and task metadata; downstream protocol is task-specific in Patho-Bench.,https://huggingface.co/datasets/MahmoodLab/Patho-Bench/blob/60fde3a9138b2fb27a163ed6f3e2cf0ef7e8f387/bc_therapy/grade/config.yaml,parsed_primary_source,0
pathobench.bc_therapy.her2-status,pathobench,bc_therapy,her2_status,molecular_subtyping,her2_status,case,classification,166,case_level_classification,macro-ovr-auc,higher,Public Patho-Bench split and task metadata; downstream protocol is task-specific in Patho-Bench.,https://huggingface.co/datasets/MahmoodLab/Patho-Bench/blob/60fde3a9138b2fb27a163ed6f3e2cf0ef7e8f387/bc_therapy/her2_status/config.yaml,parsed_primary_source,0
pathobench.bc_therapy.residual-cancer-burden,pathobench,bc_therapy,residual_cancer_burden,treatment_response,residual_cancer_burden,case,classification,159,case_level_classification,bacc,higher,Public Patho-Bench split and task metadata; downstream protocol is task-specific in Patho-Bench.,https://huggingface.co/datasets/MahmoodLab/Patho-Bench/blob/60fde3a9138b2fb27a163ed6f3e2cf0ef7e8f387/bc_therapy/residual_cancer_burden/config.yaml,parsed_primary_source,0
pathobench.bcnb.er,pathobench,bcnb,er,molecular_subtyping,er,case,classification,1058,case_level_classification,macro-ovr-auc,higher,Public Patho-Bench split and task metadata; downstream protocol is task-specific in Patho-Bench.,https://huggingface.co/datasets/MahmoodLab/Patho-Bench/blob/60fde3a9138b2fb27a163ed6f3e2cf0ef7e8f387/bcnb/er/config.yaml,parsed_primary_source,0
pathobench.bcnb.her2,pathobench,bcnb,her2,molecular_subtyping,her2,case,classification,1058,case_level_classification,macro-ovr-auc,higher,Public Patho-Bench split and task metadata; downstream protocol is task-specific in Patho-Bench.,https://huggingface.co/datasets/MahmoodLab/Patho-Bench/blob/60fde3a9138b2fb27a163ed6f3e2cf0ef7e8f387/bcnb/her2/config.yaml,parsed_primary_source,0
pathobench.bcnb.pr,pathobench,bcnb,pr,molecular_subtyping,pr,case,classification,1058,case_level_classification,macro-ovr-auc,higher,Public Patho-Bench split and task metadata; downstream protocol is task-specific in Patho-Bench.,https://huggingface.co/datasets/MahmoodLab/Patho-Bench/blob/60fde3a9138b2fb27a163ed6f3e2cf0ef7e8f387/bcnb/pr/config.yaml,parsed_primary_source,0
pathobench.boehmk_.pfs,pathobench,boehmk_,PFS,survival_prediction,PFS,case,survival,183,case_level_survival,cindex,higher,Public Patho-Bench split and task metadata; downstream protocol is task-specific in Patho-Bench.,https://huggingface.co/datasets/MahmoodLab/Patho-Bench/blob/60fde3a9138b2fb27a163ed6f3e2cf0ef7e8f387/boehmk_/PFS/config.yaml,parsed_primary_source,0
pathobench.bracs.slidelevel-coarse,pathobench,bracs,slidelevel_coarse,morphological_subtyping,slidelevel_coarse,slide,classification,547,slide_level_classification,bacc,higher,Public Patho-Bench split and task metadata; downstream protocol is task-specific in Patho-Bench.,https://huggingface.co/datasets/MahmoodLab/Patho-Bench/blob/60fde3a9138b2fb27a163ed6f3e2cf0ef7e8f387/bracs/slidelevel_coarse/config.yaml,parsed_primary_source,0
pathobench.bracs.slidelevel-fine,pathobench,bracs,slidelevel_fine,morphological_subtyping,slidelevel_fine,slide,classification,547,slide_level_classification,bacc,higher,Public Patho-Bench split and task metadata; downstream protocol is task-specific in Patho-Bench.,https://huggingface.co/datasets/MahmoodLab/Patho-Bench/blob/60fde3a9138b2fb27a163ed6f3e2cf0ef7e8f387/bracs/slidelevel_fine/config.yaml,parsed_primary_source,0
pathobench.cervical_subtype.subtype,pathobench,cervical_subtype,subtype,morphological_subtyping,subtype,case,classification,599,case_level_classification,macro-ovr-auc,higher,Public Patho-Bench split and task metadata; downstream protocol is task-specific in Patho-Bench.,https://huggingface.co/datasets/MahmoodLab/Patho-Bench/blob/60fde3a9138b2fb27a163ed6f3e2cf0ef7e8f387/cervical_subtype/subtype/config.yaml,parsed_primary_source,0
pathobench.cptac_all.organ,pathobench,cptac_all,organ,morphological_subtyping,organ,slide,classification,2154,slide_level_classification,bacc,higher,Public Patho-Bench split and task metadata; downstream protocol is task-specific in Patho-Bench.,https://huggingface.co/datasets/MahmoodLab/Patho-Bench/blob/60fde3a9138b2fb27a163ed6f3e2cf0ef7e8f387/cptac_all/organ/config.yaml,parsed_primary_source,0
pathobench.cptac_brca.immune-class,pathobench,cptac_brca,Immune_class,tme_characterization,Immune_class,case,classification,103,case_level_classification,bacc,higher,Public Patho-Bench split and task metadata; downstream protocol is task-specific in Patho-Bench.,https://huggingface.co/datasets/MahmoodLab/Patho-Bench/blob/60fde3a9138b2fb27a163ed6f3e2cf0ef7e8f387/cptac_brca/Immune_class/config.yaml,parsed_primary_source,0
pathobench.cptac_brca.pik3ca-mutation,pathobench,cptac_brca,PIK3CA_mutation,mutation_prediction,PIK3CA_mutation,case,classification,103,case_level_classification,macro-ovr-auc,higher,Public Patho-Bench split and task metadata; downstream protocol is task-specific in Patho-Bench.,https://huggingface.co/datasets/MahmoodLab/Patho-Bench/blob/60fde3a9138b2fb27a163ed6f3e2cf0ef7e8f387/cptac_brca/PIK3CA_mutation/config.yaml,parsed_primary_source,0
pathobench.cptac_brca.tp53-mutation,pathobench,cptac_brca,TP53_mutation,mutation_prediction,TP53_mutation,case,classification,103,case_level_classification,macro-ovr-auc,higher,Public Patho-Bench split and task metadata; downstream protocol is task-specific in Patho-Bench.,https://huggingface.co/datasets/MahmoodLab/Patho-Bench/blob/60fde3a9138b2fb27a163ed6f3e2cf0ef7e8f387/cptac_brca/TP53_mutation/config.yaml,parsed_primary_source,0
pathobench.cptac_ccrcc.bap1-mutation,pathobench,cptac_ccrcc,BAP1_mutation,mutation_prediction,BAP1_mutation,case,classification,103,case_level_classification,macro-ovr-auc,higher,Public Patho-Bench split and task metadata; downstream protocol is task-specific in Patho-Bench.,https://huggingface.co/datasets/MahmoodLab/Patho-Bench/blob/60fde3a9138b2fb27a163ed6f3e2cf0ef7e8f387/cptac_ccrcc/BAP1_mutation/config.yaml,parsed_primary_source,0
pathobench.cptac_ccrcc.immune-class,pathobench,cptac_ccrcc,Immune_class,tme_characterization,Immune_class,case,classification,103,case_level_classification,bacc,higher,Public Patho-Bench split and task metadata; downstream protocol is task-specific in Patho-Bench.,https://huggingface.co/datasets/MahmoodLab/Patho-Bench/blob/60fde3a9138b2fb27a163ed6f3e2cf0ef7e8f387/cptac_ccrcc/Immune_class/config.yaml,parsed_primary_source,0
pathobench.cptac_ccrcc.os,pathobench,cptac_ccrcc,OS,survival_prediction,OS,case,survival,94,case_level_survival,cindex,higher,Public Patho-Bench split and task metadata; downstream protocol is task-specific in Patho-Bench.,https://huggingface.co/datasets/MahmoodLab/Patho-Bench/blob/60fde3a9138b2fb27a163ed6f3e2cf0ef7e8f387/cptac_ccrcc/OS/config.yaml,parsed_primary_source,0
pathobench.cptac_ccrcc.pbrm1-mutation,pathobench,cptac_ccrcc,PBRM1_mutation,mutation_prediction,PBRM1_mutation,case,classification,103,case_level_classification,macro-ovr-auc,higher,Public Patho-Bench split and task metadata; downstream protocol is task-specific in Patho-Bench.,https://huggingface.co/datasets/MahmoodLab/Patho-Bench/blob/60fde3a9138b2fb27a163ed6f3e2cf0ef7e8f387/cptac_ccrcc/PBRM1_mutation/config.yaml,parsed_primary_source,0
pathobench.cptac_ccrcc.vhl-mutation,pathobench,cptac_ccrcc,VHL_mutation,mutation_prediction,VHL_mutation,case,classification,103,case_level_classification,macro-ovr-auc,higher,Public Patho-Bench split and task metadata; downstream protocol is task-specific in Patho-Bench.,https://huggingface.co/datasets/MahmoodLab/Patho-Bench/blob/60fde3a9138b2fb27a163ed6f3e2cf0ef7e8f387/cptac_ccrcc/VHL_mutation/config.yaml,parsed_primary_source,0
pathobench.cptac_ccrcc_dhmc.oncotreecode,pathobench,cptac_ccrcc_dhmc,OncoTreeCode,morphological_subtyping,OncoTreeCode,slide,classification,871,slide_level_classification,bacc,higher,Public Patho-Bench split and task metadata; downstream protocol is task-specific in Patho-Bench.,https://huggingface.co/datasets/MahmoodLab/Patho-Bench/blob/60fde3a9138b2fb27a163ed6f3e2cf0ef7e8f387/cptac_ccrcc_dhmc/OncoTreeCode/config.yaml,parsed_primary_source,0
pathobench.cptac_coad.acvr2a-mutation,pathobench,cptac_coad,ACVR2A_mutation,mutation_prediction,ACVR2A_mutation,case,classification,94,case_level_classification,macro-ovr-auc,higher,Public Patho-Bench split and task metadata; downstream protocol is task-specific in Patho-Bench.,https://huggingface.co/datasets/MahmoodLab/Patho-Bench/blob/60fde3a9138b2fb27a163ed6f3e2cf0ef7e8f387/cptac_coad/ACVR2A_mutation/config.yaml,parsed_primary_source,0
pathobench.cptac_coad.apc-mutation,pathobench,cptac_coad,APC_mutation,mutation_prediction,APC_mutation,case,classification,94,case_level_classification,macro-ovr-auc,higher,Public Patho-Bench split and task metadata; downstream protocol is task-specific in Patho-Bench.,https://huggingface.co/datasets/MahmoodLab/Patho-Bench/blob/60fde3a9138b2fb27a163ed6f3e2cf0ef7e8f387/cptac_coad/APC_mutation/config.yaml,parsed_primary_source,0
pathobench.cptac_coad.arid1a-mutation,pathobench,cptac_coad,ARID1A_mutation,mutation_prediction,ARID1A_mutation,case,classification,94,case_level_classification,macro-ovr-auc,higher,Public Patho-Bench split and task metadata; downstream protocol is task-specific in Patho-Bench.,https://huggingface.co/datasets/MahmoodLab/Patho-Bench/blob/60fde3a9138b2fb27a163ed6f3e2cf0ef7e8f387/cptac_coad/ARID1A_mutation/config.yaml,parsed_primary_source,0
pathobench.cptac_coad.immune-class,pathobench,cptac_coad,Immune_class,tme_characterization,Immune_class,case,classification,94,case_level_classification,bacc,higher,Public Patho-Bench split and task metadata; downstream protocol is task-specific in Patho-Bench.,https://huggingface.co/datasets/MahmoodLab/Patho-Bench/blob/60fde3a9138b2fb27a163ed6f3e2cf0ef7e8f387/cptac_coad/Immune_class/config.yaml,parsed_primary_source,0
pathobench.cptac_coad.kras-mutation,pathobench,cptac_coad,KRAS_mutation,mutation_prediction,KRAS_mutation,case,classification,94,case_level_classification,macro-ovr-auc,higher,Public Patho-Bench split and task metadata; downstream protocol is task-specific in Patho-Bench.,https://huggingface.co/datasets/MahmoodLab/Patho-Bench/blob/60fde3a9138b2fb27a163ed6f3e2cf0ef7e8f387/cptac_coad/KRAS_mutation/config.yaml,parsed_primary_source,0
pathobench.cptac_coad.msi-h,pathobench,cptac_coad,MSI_H,molecular_subtyping,MSI_H,case,classification,93,case_level_classification,macro-ovr-auc,higher,Public Patho-Bench split and task metadata; downstream protocol is task-specific in Patho-Bench.,https://huggingface.co/datasets/MahmoodLab/Patho-Bench/blob/60fde3a9138b2fb27a163ed6f3e2cf0ef7e8f387/cptac_coad/MSI_H/config.yaml,parsed_primary_source,0
